generation,individual,fitness,ok,failure_reason,peak_vram_mb,elapsed_s,n_levels,n_features_per_level,log2_hashmap_size,base_resolution,per_level_scale,n_neurons,n_hidden_layers,learning_rate,l2_reg
1,0,12.3857765,True,,2360.5625,14.537547588348389,11,4,18,4,1.6758805319435184,16,2,0.004193119097489442,7.151230022941314e-05
1,1,13.300842,True,,2772.5625,30.028738737106323,9,8,18,13,1.893382960462569,128,1,0.000606828015912458,5.0071027359982785e-06
1,2,13.182449,True,,2140.5625,23.526636838912964,16,2,16,18,1.3381406185078657,32,3,0.002800221516549121,1.5050052835931945e-06
1,3,12.838398,True,,2552.5625,28.025514602661133,10,4,19,30,1.4174048281746368,128,1,0.005386609265615336,9.761210942730344e-07
1,4,12.842336,True,,3270.5625,43.0308198928833,14,8,18,22,1.9104518836688715,32,1,0.006467946688576466,5.888869882347509e-06
1,5,12.5371275,True,,2854.5625,35.030964851379395,14,8,16,19,1.263508078843014,32,1,0.00013765072246326945,5.2544280323733697e-08
1,6,12.784963,True,,4580.5625,48.5348014831543,13,8,20,24,1.7848372322569177,32,2,0.003944161559588856,6.308282710644082e-08
1,7,10.248421,True,,2508.5625,22.524407386779785,9,4,20,5,1.673966363521434,64,2,0.0005120015931724472,8.422868198968593e-06
2,0,12.356882,True,,2632.5625,35.52767062187195,9,8,17,14,1.9718602908149,128,2,0.00036107536609206403,3.512978550097816e-05
2,1,11.899382,True,,2104.5625,15.523130655288696,8,4,15,21,1.3819566676552129,64,1,0.00070486396629934,7.226948344410757e-06
2,2,14.486579,True,,2109.3125,18.52132296562195,9,2,17,21,1.696704071944804,64,2,0.0026644847474660035,9.986909461710228e-06
2,3,12.115041,True,,2291.3125,29.027342557907104,12,4,17,5,1.7666604876930194,128,2,0.0010331848945074524,4.4644150000706995e-06
2,4,13.341534,True,,2605.3125,40.53259229660034,14,4,18,25,1.9974039859368737,128,2,0.001124897470001734,3.2522428778758045e-06
2,5,13.568091,True,,2279.3125,23.52302312850952,9,4,17,15,1.9996137171624233,64,2,0.00300098231954585,7.64964286358522e-08
2,6,12.698828,True,,2403.3125,29.027979850769043,11,4,18,23,1.6782427135492783,32,1,0.00018647044121708275,4.524445085277259e-06
2,7,12.399189,True,,2953.3125,29.55027675628662,9,8,19,10,1.884598275435767,64,1,0.0006065390898741691,7.383469712662881e-05
3,0,12.4732065,True,,1969.3125,15.520831108093262,8,2,17,7,1.8768753992385463,64,2,0.0036666497284304957,9.886546595150794e-06
3,1,13.112951,True,,2399.3125,27.528072595596313,8,8,16,15,1.8079511076098496,128,2,0.007559988360066156,2.1508403058577807e-06
3,2,11.029953,True,,2301.3125,31.03818941116333,12,4,17,7,1.964142417211944,128,2,0.0007213509536334501,1.1722770714875342e-07
3,3,13.416062,True,,2369.3125,27.02582335472107,10,4,18,16,1.8958086330605333,64,2,0.005182294872431181,1.2636741336818018e-06
3,4,12.142971,True,,2237.3125,22.025977849960327,10,4,16,9,1.9748299577750454,128,1,0.0005600043857781504,3.958211641682326e-06
3,5,12.432388,True,,2417.3125,30.025704622268677,11,2,20,24,1.534998869114071,128,2,0.00018573337379164173,1.0267520485325644e-05
3,6,10.954464,True,,2187.3125,21.027860164642334,8,4,18,17,1.6156104696484304,64,2,0.0003999026453014782,3.4899958147290175e-07
3,7,11.854994,True,,2781.3125,34.02881836891174,13,4,19,13,1.9884916983421212,64,1,0.002403473509254372,4.916891148015388e-05
4,0,14.06952,True,,2107.3125,18.522704362869263,9,2,17,13,1.8532993406268279,64,2,0.002587311242073585,3.47723892528065e-07
4,1,13.277563,True,,3391.3125,39.031275510787964,12,8,19,12,1.983231893564819,64,1,0.008594477662312368,9.689135131542622e-05
4,2,14.160041,True,,2339.3125,28.5273175239563,9,4,18,10,1.9998474837954991,128,2,0.02043511874364375,3.974530831117591e-05
4,3,13.344114,True,,2525.3125,25.525273323059082,9,8,16,5,1.9952764015216724,64,2,0.01117098366790943,2.8296471491061364e-05
4,4,13.743392,True,,2231.3125,24.0349223613739,9,2,19,30,1.9087972954816332,64,2,0.02090690503113067,3.036692440887807e-07
4,5,13.534141,True,,2107.3125,17.521883964538574,8,4,16,18,1.8383043916141852,64,1,0.04873758296560211,5.276302165377273e-05
4,6,13.303968,True,,2717.3125,27.026501655578613,8,4,21,8,1.907949758175202,128,2,0.0032150494682501598,7.454269931797704e-07
4,7,13.166417,True,,2479.3125,26.04696536064148,9,4,19,19,1.7112795355356754,64,2,0.0032282730458366516,3.558378254412795e-07
5,0,12.602304,True,,2995.3125,39.03017830848694,11,8,18,23,1.9985179432543958,128,1,0.0017492128715618275,7.754398090177862e-07
5,1,13.494495,True,,2555.3125,29.025087594985962,10,4,19,23,1.8110246402885308,64,2,0.0034894758544020722,7.69538280047542e-06
5,2,13.210627,True,,2145.3125,24.52389907836914,8,4,17,19,1.9488925944720852,128,2,0.017114893378075747,9.344982993634021e-07
5,3,13.22104,True,,2149.3125,29.54524278640747,9,2,18,10,1.6626313379247286,128,3,0.004028963746198733,2.349314062550116e-05
5,4,13.154562,True,,4007.3125,40.53431010246277,11,8,20,13,1.9692811898878355,64,2,0.021461975767579244,3.5485202763999896e-07
5,5,13.404419,True,,2129.3125,19.028092861175537,8,4,17,8,1.9713409024157624,128,1,0.012727642600817796,6.825047770646126e-07
5,6,12.828951,True,,2279.3125,24.0255184173584,9,4,17,13,1.956142630116875,64,3,0.0038175571726967966,4.385374388850909e-05
5,7,13.136402,True,,2275.3125,25.02460527420044,8,4,19,11,1.7959845964863619,128,2,0.0023838901460404944,4.94153519026306e-06
6,0,12.256458,True,,2381.3125,31.025970935821533,10,4,18,21,1.852632964037809,128,2,0.0011328036977739332,4.5699199391434893e-07
6,1,13.215443,True,,2763.3125,30.029949188232422,10,4,20,12,1.8095317315410733,64,3,0.002412450793795257,1.2784764928821898e-05
6,2,13.431879,True,,2141.3125,20.52160120010376,8,4,17,15,1.9217511546801092,32,3,0.036151535540488805,5.089246431085565e-06
6,3,13.179021,True,,2491.3125,26.02501654624939,9,4,19,19,1.8357958144956397,128,1,0.008340064909112557,9.497188423171731e-06
6,4,13.867489,True,,2383.3125,25.52544331550598,10,2,20,21,1.6454030264657677,64,2,0.01575307468254446,5.160867107069167e-06
6,5,13.81382,True,,2527.3125,27.04284930229187,8,4,20,13,1.9791045452295353,128,2,0.0051959538218415416,6.20590131878316e-05
6,6,13.501567,True,,2175.3125,20.049654006958008,8,4,18,10,1.790858094139622,64,2,0.005903889516293447,2.4707851050646635e-08
6,7,13.489261,True,,2543.3125,32.02747917175293,10,4,19,18,1.9899787356132523,128,2,0.0239538988111146,4.0471456352893347e-05
7,0,14.311268,True,,2381.3125,29.529733896255493,8,2,21,13,1.592566755792837,128,3,0.010161356494853871,4.2022986132317237e-07
7,1,10.616356,True,,2143.3125,20.537672519683838,9,2,18,16,1.7978294095810687,64,1,0.003348358934048882,6.692984629049289e-06
7,2,12.242603,True,,3155.3125,36.53086614608765,13,4,20,17,1.5881827889463345,32,2,0.0020795639330907036,2.667188982131917e-06
7,3,13.031187,True,,2313.3125,24.023781061172485,8,2,21,16,1.534584358277999,128,2,0.004554479264760558,2.3041394227400304e-06
7,4,15.189872,True,,2997.3125,38.03042483329773,8,4,21,25,1.7078059151831957,128,3,0.020537859706225518,7.89613032984664e-05
7,5,13.470879,True,,2209.3125,22.550819158554077,9,2,19,15,1.9070333790194676,64,2,0.0058406116327918275,1.0805879813357723e-06
7,6,13.22537,True,,5119.3125,43.533108949661255,12,4,22,19,1.7450250079099578,64,2,0.013802169024141947,1.017800317383913e-05
7,7,13.99506,True,,2101.3125,20.523590326309204,8,2,19,24,1.5565497240070902,64,3,0.002756401410564669,4.2541021131656915e-06
8,0,13.946675,True,,2763.3125,27.025468587875366,8,2,22,16,1.8259132259398947,128,2,0.009411830714669821,2.033756001709144e-05
8,1,13.053541,True,,2335.3125,32.0267813205719,8,4,19,24,1.589066773181964,128,3,0.038105465892276306,1.726772456248733e-06
8,2,13.008234,True,,3111.3125,32.529993534088135,10,2,22,20,1.6357518422996358,128,2,0.012194021284129549,1.466240404583054e-06
8,3,13.542261,True,,2303.3125,31.526512622833252,9,2,20,19,1.4642933586429745,128,3,0.003368194247039671,1.7408816019060135e-06
8,4,13.186657,True,,2667.3125,29.52778387069702,9,4,20,15,1.6079608803854928,128,2,0.0035935786768021283,2.587422524622032e-06
8,5,13.531559,True,,2529.3125,36.54608201980591,9,4,19,27,1.916090514824802,128,3,0.01985894951029167,7.614244792304953e-06
8,6,13.9645195,True,,2215.3125,22.02436923980713,8,2,20,19,1.7589772712907616,64,3,0.0478620012081302,3.3052207970712804e-06
8,7,13.092957,True,,2467.3125,26.024325609207153,8,2,21,23,1.782115862596607,128,2,0.02310915157319138,4.051450969644385e-07
