generation,individual,fitness,ok,failure_reason,peak_vram_mb,n_levels,n_features_per_level,log2_hashmap_size,base_resolution,per_level_scale,n_neurons,n_hidden_layers,learning_rate,l2_reg
0,0,12.854477,True,,2445.875,14,4,18,20,1.3826085899296978,64,2,0.013525126305323331,4.863019819753398e-05
0,1,12.910755,True,,2579.875,11,8,16,22,1.9351059537381383,16,3,0.0011917488635362317,1.825460843492353e-08
0,2,12.912539,True,,2489.875,15,4,18,26,1.8520481979104058,64,3,0.004021805769095615,6.978060311629263e-07
0,3,12.820568,True,,3195.6875,18,8,17,23,1.9371739984109864,32,2,0.0003486928360346668,1.8586648637178354e-08
0,4,12.937594,True,,2499.6875,13,4,19,5,1.5615278018433916,64,2,0.006659185273224186,3.467300910690653e-06
0,5,12.867935,True,,2251.6875,10,4,18,30,1.8506967309178557,32,3,0.00445156420211163,5.353956595677885e-07
0,6,12.900287,True,,3357.6875,16,4,20,20,1.7378599480345924,128,1,0.04266198161354095,1.3070831653975392e-06
0,7,12.949295,True,,2641.6875,13,8,15,18,1.8050091559587602,32,3,0.014881313396119035,8.919681500101863e-07
1,0,12.941317,True,,2313.6875,14,4,17,20,1.3826085899296978,64,3,0.049999999999999996,7.479979594622376e-06
1,1,12.744103,True,,2540.125,9,4,20,8,1.9351059537381383,16,3,0.0011917488635362317,1.8609230367650775e-05
1,2,12.917558,True,,3931.5,14,4,21,10,1.8520481979104058,128,2,0.049999999999999996,1.78524754067469e-05
1,3,12.848474,True,,4303.5,18,8,19,32,1.8091678530039894,32,3,0.008177693223215834,3.3102130355840195e-06
1,4,12.940285,True,,3011.5,15,8,17,25,1.936498264914711,64,1,0.006659185273224186,3.467300910690653e-06
1,5,12.951347,True,,2507.5,10,8,17,24,1.8506967309178557,32,3,0.00445156420211163,1.1185086228071453e-07
1,6,12.883947,True,,3127.5,15,4,20,20,1.4061281109055206,128,1,0.007031229027807964,4.3012900103352524e-05
1,7,12.990857,True,,3535.5,18,8,18,22,1.660925316506766,32,1,0.0011746847111265308,8.919681500101863e-07
2,0,12.970916,True,,2747.5,11,4,20,13,1.9084665893520374,64,3,0.01615123785398033,5.22235633004372e-06
2,1,12.913871,True,,2461.5,11,4,19,22,2.0,16,3,0.006151154111705308,1.825460843492353e-08
2,2,12.951207,True,,4533.5,16,4,21,24,1.8520481979104058,128,2,0.049999999999999996,2.5180046045827333e-06
2,3,13.655253,True,,2513.5,12,8,15,32,1.896638637974225,16,3,0.0001977538250161753,1.5079800104071857e-08
2,4,12.719742,True,,3257.4375,18,8,17,32,1.6394851440535578,32,2,0.0004750635627022071,3.840856641786318e-07
2,5,12.925087,True,,2545.375,17,4,17,24,1.8506967309178557,32,2,0.00445156420211163,6.32944693061299e-05
2,6,12.9760475,True,,2331.375,16,4,16,20,1.3611684174764895,128,3,0.02022089664581647,1.3070831653975392e-06
2,7,12.832302,True,,4801.4375,17,4,21,23,1.6741947420792318,64,2,0.04727656153231683,8.919681500101863e-07
3,0,12.938148,True,,2256.0,13,4,15,19,1.3604926839802145,64,3,0.01615123785398033,2.754828894222379e-07
3,1,13.740818,True,,3104.75,18,4,19,32,2.0,16,1,0.00012998129398498774,4.7930712929426875e-08
3,2,12.997984,True,,2332.75,16,4,16,24,1.8520481979104058,128,3,0.012478885704021296,7.7278063649769e-08
3,3,12.937598,True,,2284.0,14,4,15,19,1.318267650478062,64,3,0.01653279120496898,2.3476163343792656e-07
3,4,12.927485,True,,5672.75,18,8,20,25,1.906365206723724,32,1,0.001847166798233289,1.2380152558297247e-06
3,5,12.92803,True,,3398.75,11,4,21,12,1.8506967309178557,32,3,0.044256826196761904,4.450399460406539e-06
3,6,12.920177,True,,2404.75,16,4,17,19,1.8049300255938743,64,3,0.007213353962694657,1.8918483747846547e-06
3,7,12.915158,True,,2310.75,11,4,18,21,1.660925316506766,32,2,0.025832161316934166,1.6960447661453897e-06
4,0,12.92295,True,,2136.75,12,4,15,16,1.9084665893520374,64,3,0.049999999999999996,1.996714377132712e-06
4,1,13.689891,True,,2134.75,12,4,15,32,1.4560541246820344,16,3,0.00012998129398498774,4.628584705043885e-07
4,2,12.950304,True,,2838.3125,16,8,15,24,1.8520481979104058,32,3,0.012478885704021296,6.273792986988636e-08
4,3,12.954191,True,,2515.6875,9,8,17,25,1.896638637974225,32,3,0.010598942405255043,2.2052631974694983e-07
4,4,12.948466,True,,2285.25,13,4,16,19,1.3604926839802145,64,3,0.012077271419875406,1.572514916357146e-06
4,5,5.5353336,True,,3027.375,18,8,16,24,1.33887319744458,128,3,0.049999999999999996,2.9589221888144135e-06
4,6,12.886118,True,,2277.375,16,4,16,29,1.3611684174764895,64,1,0.0011379029032822932,1.3070831653975392e-06
4,7,12.94611,True,,4222.875,18,8,19,22,1.660925316506766,64,1,0.0011746847111265308,8.919681500101863e-07
5,0,12.883055,True,,3662.3125,11,8,20,23,1.382787904012124,16,3,0.01615123785398033,6.946474571980921e-07
5,1,12.957825,True,,2640.3125,14,4,19,10,1.6637024326313543,128,3,0.03442307768331454,1.78524754067469e-05
5,2,12.933416,True,,2956.3125,13,4,20,7,1.8520481979104058,128,3,0.049999999999999996,4.862060061425621e-05
5,3,12.959695,True,,2774.3125,15,8,15,16,1.3411716584968731,64,2,0.011323098924159917,5.109045724555098e-06
5,4,13.026367,True,,2500.3125,18,4,17,26,1.6838962700349507,64,1,0.0002475867744608583,3.275121915501238e-07
5,5,12.906595,True,,2506.3125,11,8,15,32,1.8506967309178557,16,3,0.00445156420211163,1.6540223013055682e-08
5,6,12.9186535,True,,2400.3125,17,4,16,20,1.4351443185212867,32,2,0.0020637302685754264,1.0293949891113202e-06
5,7,12.809296,True,,4330.3125,15,4,21,17,1.9831182238931095,32,2,0.0011746847111265308,8.919681500101863e-07
6,0,11.327969,True,,5638.3125,18,8,20,26,1.9084665893520374,16,1,0.00011988748258036116,7.024706371978409e-07
6,1,12.852251,True,,4198.3125,18,8,19,22,1.6602495830104909,16,1,0.0007016002473850847,1.0731017412957854e-06
6,2,13.412366,True,,2110.3125,9,4,16,24,1.8520481979104058,16,2,0.00017673704696792518,7.7278063649769e-08
6,3,12.544401,True,,3752.3125,18,4,20,32,2.0,32,1,0.0002475867744608583,3.275121915501238e-07
6,4,12.922146,True,,2642.3125,17,4,18,26,1.4351443185212867,32,1,0.0020637302685754264,1.0293949891113202e-06
6,5,12.894477,True,,5584.3125,18,8,20,24,1.8506967309178557,16,3,0.00011988748258036116,7.024706371978409e-07
6,6,12.932077,True,,2110.3125,10,4,16,21,1.692644865935331,32,3,0.006143783938021149,2.9237896719961304e-07
6,7,12.917701,True,,2226.3125,15,4,15,18,1.5326324066486507,128,1,0.049999999999999996,4.03553294991663e-07
7,0,13.17255,True,,2872.3125,16,8,16,32,1.9084665893520374,64,2,0.00023405871497132364,3.104425230795261e-08
7,1,12.952508,True,,2366.3125,17,4,15,23,1.3841393710046743,64,3,0.004261932184716089,4.7930712929426875e-08
7,2,13.453058,True,,2228.3125,15,4,15,32,1.8520481979104058,16,2,0.00017673704696792518,1e-08
7,3,12.355764,True,,4276.3125,18,8,19,32,1.896638637974225,16,1,0.0001977538250161753,1.5079800104071857e-08
7,4,13.000912,True,,2228.3125,15,4,15,25,1.3329592217556738,64,3,0.0002475867744608583,1.5900035221095635e-07
7,5,13.711676,True,,2860.3125,15,8,16,31,1.8506967309178557,32,2,0.000101584916980727,1.1185086228071453e-07
7,6,12.974545,True,,2222.3125,9,4,18,20,1.857962173599312,32,3,0.0015972321908631834,1.3070831653975392e-06
7,7,12.930407,True,,4252.3125,18,8,19,26,1.7355769510478383,64,1,0.0002007268289420968,5.838975099800221e-07
8,0,12.894188,True,,2720.3125,14,8,16,29,1.8125626740364975,32,2,0.00023405871497132364,8.629970679212588e-08
8,1,14.169796,True,,2393.375,18,4,15,32,1.9462581716196756,16,1,0.0001,1.1843080000753477e-08
8,2,12.262974,True,,4223.375,17,8,19,32,1.8520481979104058,16,1,0.00018135464659444877,1.759916296775527e-08
8,3,13.347235,True,,2563.8125,12,8,15,32,1.9199520661161298,16,2,0.0001977538250161753,1.881136310631893e-08
8,4,12.994851,True,,2080.375,11,4,15,26,1.8508719326502436,64,1,0.0002653669742700101,1.2136102685772315e-08
8,5,14.092751,True,,2852.375,15,8,16,32,1.8506967309178557,32,1,0.0001,1.1185086228071453e-07
8,6,13.488228,True,,2687.875,18,4,18,31,1.3611684174764895,32,3,0.0001,1.9941071404309043e-07
