generation,individual,fitness,ok,failure_reason,peak_vram_mb,n_levels,n_features_per_level,log2_hashmap_size,base_resolution,per_level_scale,n_neurons,n_hidden_layers,learning_rate,l2_reg
1,0,12.797102,True,,5522.625,17,8,20,22,1.693482641887681,32,2,0.0010854448663445882,1.4402944913615386e-05
1,1,12.8857765,True,,2457.9375,12,4,18,28,1.7456454485597779,64,1,0.0014072732340953162,3.4736815623314598e-06
1,2,13.118475,python3 -m optimizers.particle_swarm \,,3525.5625,9,8,20,32,1.5586547726280502,64,3,0.00011171486546209544,2.586298138762866e-07
1,3,12.963124,  --ngp_dir ../instant-ngp \,,2231.5625,9,4,18,9,1.8488329947767126,64,3,0.007307190798905849,4.575093682814514e-05
1,4,12.848581,  --scene ../instant-ngp/data/nerf/fox \,,3845.625,15,8,19,29,1.4087263058523876,16,3,0.0026191239298461507,2.9832721938116364e-06
1,5,13.719291,  --base ../instant-ngp/configs/nerf/base.json \,,2139.625,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
1,6,12.9428215,  --out_dir analysis/runs/pso --pop_size 8 --iterations 8,,2231.875,9,4,18,18,1.8143423907327114,64,1,0.01402105819077379,2.774424886464676e-06
1,7,12.872259,True,,3063.875,14,8,18,21,1.2939160982835118,64,1,0.004468471056190121,5.286607059318092e-08
2,0,13.57738,True,,2121.875,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
2,1,13.08663,True,,3499.875,9,8,20,32,1.5586547726280502,64,3,0.00011171486546209544,2.586298138762866e-07
2,2,12.722894,True,,3667.25,9,8,20,31,1.9722542202708335,64,3,0.00010275108004269126,2.586298138762866e-07
2,3,12.942449,True,,5743.875,18,8,20,31,1.9687169726204818,64,3,0.0001496061011966097,6.127439271484259e-08
2,4,12.768532,True,,3627.875,9,8,20,32,1.9722542202708335,64,3,0.00011124019692591476,2.586298138762866e-07
2,5,12.9414,True,,3474.875,9,8,20,32,1.5016064813388963,32,3,0.00011124019692591476,1.1717754498471545e-07
2,6,13.185631,True,,1954.875,9,2,15,17,1.5586547726280502,64,3,0.00011171486546209544,2.586298138762866e-07
2,7,12.553569,True,,2108.875,17,2,16,17,1.864660510678952,32,2,0.0001,6.127439271484259e-08
3,0,13.625471,True,,2108.875,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
3,1,13.123908,True,,1954.875,9,2,15,17,1.5586547726280502,64,3,0.00011171486546209544,2.586298138762866e-07
3,2,13.070518,True,,2096.875,18,2,15,16,1.9722542202708335,64,3,0.00011124019692591476,2.586298138762866e-07
3,3,13.353301,True,,2098.125,17,2,15,18,1.5586547726280502,16,3,0.00021187449406247891,2.586298138762866e-07
3,4,13.784609,True,,2108.875,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
3,5,11.336627,True,,1830.875,8,2,16,17,1.5586547726280502,16,3,0.00011171486546209544,6.127439271484259e-08
3,6,13.607913,True,,2096.875,18,2,15,18,1.9722542202708335,16,3,0.00011822391175601868,4.6769546924017187e-07
3,7,13.607832,True,,1864.875,8,2,16,17,1.9722542202708335,64,3,0.0001,6.127439271484259e-08
4,0,13.663252,True,,2108.875,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
4,1,13.856834,True,,2108.875,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
4,2,13.029074,True,,2410.5625,17,4,16,18,1.9722542202708335,64,3,0.00019336148519786845,6.127439271484259e-08
4,3,13.586269,True,,2108.4375,17,2,16,17,1.9722542202708335,16,3,0.00011514372015387412,6.127439271484259e-08
4,4,13.413961,True,,3008.4375,17,8,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
4,5,13.407305,True,,2108.4375,17,2,16,16,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
4,6,14.011903,True,,2108.4375,17,2,16,17,1.9722542202708335,32,3,0.00011124019692591476,6.127439271484259e-08
4,7,14.049536,True,,2022.4375,16,2,17,18,2.0,16,3,0.00011124019692591476,6.127439271484259e-08
5,0,14.108151,True,,2022.4375,16,2,17,18,2.0,16,3,0.00011124019692591476,6.127439271484259e-08
5,1,14.040705,True,,2108.4375,17,2,16,17,1.9722542202708335,32,3,0.00011124019692591476,6.127439271484259e-08
5,2,13.824492,True,,2132.625,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,7.875542127773302e-08
5,3,13.8886795,True,,2172.1875,17,2,16,17,1.920116287341695,32,3,0.00011124019692591476,4.723834429349261e-08
