iteration,particle,fitness,ok,failure_reason,peak_vram_mb,n_levels,n_features_per_level,log2_hashmap_size,base_resolution,per_level_scale,n_neurons,n_hidden_layers,learning_rate,l2_reg
0,0,12.879382,True,,2662.375,14,4,18,20,1.3826085899296978,64,2,0.013525126305323331,4.863019819753398e-05
0,1,12.901769,True,,2758.5625,11,8,16,22,1.9351059537381383,16,3,0.0011917488635362317,1.825460843492353e-08
0,2,12.891082,True,,2664.5625,15,4,18,26,1.8520481979104058,64,3,0.004021805769095615,6.978060311629263e-07
0,3,12.796802,True,,3372.5625,18,8,17,23,1.9371739984109864,32,2,0.0003486928360346668,1.8586648637178354e-08
0,4,12.954618,True,,2653.25,13,4,19,5,1.5615278018433916,64,2,0.006659185273224186,3.467300910690653e-06
0,5,12.873487,True,,2405.25,10,4,18,30,1.8506967309178557,32,3,0.00445156420211163,5.353956595677885e-07
0,6,12.93602,True,,3511.25,16,4,20,20,1.7378599480345924,128,1,0.04266198161354095,1.3070831653975392e-06
0,7,12.930307,True,,2795.25,13,8,15,18,1.8050091559587602,32,3,0.014881313396119035,8.919681500101863e-07
1,0,12.917835,True,,2565.25,13,4,18,19,1.4481803739268686,64,2,0.0039025396896146297,7.707367007130635e-06
1,1,12.910261,True,,3201.25,13,8,18,17,1.7871059537381382,32,3,0.004130272895480727,1.1517879262625082e-07
1,2,12.841464,True,,2861.25,14,4,19,24,1.7040481979104058,64,3,0.002722867967293309,4.402858403848228e-06
1,3,12.9889145,True,,4045.25,16,8,19,18,1.8257875958141672,64,2,0.0002765812083939822,1.1727382466900451e-07
1,4,12.960492,True,,2577.25,14,4,18,11,1.7095278018433915,64,2,0.001921441193419847,3.528664923245656e-06
1,5,12.904998,True,,2571.25,10,4,19,24,1.8199011089286272,32,2,0.0030869689935801546,2.4143140761933417e-07
1,6,12.913984,True,,2939.25,16,4,19,19,1.7971754164690086,64,2,0.012309687371934146,2.634420360470158e-07
1,7,12.960277,True,,2477.25,14,4,17,17,1.8778620325270732,64,2,0.004293853887271343,1.413674248843278e-07
2,0,12.954605,True,,3676.25,13,8,19,18,1.5961803739268685,32,2,0.0011260387286012386,1.2215353501400734e-06
2,1,12.927425,True,,3908.25,15,8,19,13,1.7246059509329439,32,2,0.0025993535615002725,4.88746845460722e-07
2,2,12.947154,True,,2670.25,16,4,18,21,1.8520481979104058,64,2,0.0024425985420627717,8.322878050114624e-07
2,3,12.926813,True,,4874.25,15,8,20,13,1.7394631338016322,64,2,0.00023112232334163255,4.888786698697614e-07
2,4,13.0013075,True,,2643.25,16,4,18,16,1.8575278018433914,64,2,0.0005544126057906116,2.423450070222415e-06
2,5,12.94674,True,,2625.25,12,4,19,18,1.8249090786308289,64,2,0.000890713975315315,3.714520035145971e-07
2,6,12.938425,True,,2653.25,16,4,18,18,1.8449642916584796,64,2,0.0035518369626473217,1.662206874886807e-06
2,7,12.985046,True,,2643.25,16,4,18,16,1.9222744479049003,64,2,0.0012389485198291378,1.8599843838120953e-07
3,0,12.882852,True,,3935.25,15,8,19,16,1.7441803739268686,64,2,0.0003666311611907016,3.6827649938414847e-07
3,1,12.9673395,True,,5122.9375,16,8,20,13,1.813670477704358,64,2,0.0007500174277192047,3.0837841173496843e-06
3,2,12.828059,True,,3685.9375,17,8,18,16,1.9607551308119722,64,2,0.0007047873373606116,6.823718388889022e-07
3,3,12.912155,True,,2938.875,16,4,19,19,1.806586445805603,64,2,0.0007996289924119342,3.084615873140342e-06
3,4,12.904303,True,,2826.875,18,4,18,20,1.9629778018433914,64,2,0.00022868088840381702,1.8542612878554902e-06
3,5,12.8836155,True,,3234.875,14,8,18,14,1.8424560014802527,64,1,0.0003017627475748167,7.20151498891477e-07
3,6,12.921661,True,,3201.875,16,8,17,16,1.886718798436981,64,2,0.001024846970361811,7.172344074919112e-06
3,7,12.914783,True,,3177.875,18,4,19,15,1.8575277755987578,64,2,0.00035748618259627535,3.7537639025395244e-07
4,0,12.927809,True,,3113.875,17,4,19,16,1.8221446596496498,64,2,0.0005084300995057694,1.0432338899317846e-06
4,1,12.958952,True,,2792.875,17,4,18,15,1.9100744752725136,64,2,0.00024570676094889,7.4706453245670375e-06
4,2,12.989838,True,,2620.875,15,4,18,17,1.812755130811972,64,2,0.0016121557067903594,4.260742176737102e-06
