sample,fitness,ok,failure_reason,peak_vram_mb,elapsed_s,n_levels,n_features_per_level,log2_hashmap_size,base_resolution,per_level_scale,n_neurons,n_hidden_layers,learning_rate,l2_reg
0,10.873854,True,,5559.9375,51.04630732536316,17,8,20,22,1.693482641887681,32,2,0.0010854448663445882,1.4402944913615386e-05
1,11.460567,True,,2471.0,25.02351999282837,12,4,18,28,1.7456454485597779,64,1,0.0014072732340953162,3.4736815623314598e-06
2,12.363982,True,,3652.9375,26.54317879676819,9,8,20,32,1.5586547726280502,64,3,0.00011171486546209544,2.586298138762866e-07
3,13.050529,True,,2342.9375,16.020389080047607,9,4,18,9,1.8488329947767126,64,3,0.007307190798905849,4.575093682814514e-05
4,11.948195,True,,3960.9375,36.528279066085815,15,8,19,29,1.4087263058523876,16,3,0.0026191239298461507,2.9832721938116364e-06
5,12.367487,True,,2254.9375,21.5469868183136,17,2,16,17,1.9722542202708335,16,3,0.00011124019692591476,6.127439271484259e-08
6,13.50607,True,,2364.9375,16.52025294303894,9,4,18,18,1.8143423907327114,64,1,0.01402105819077379,2.774424886464676e-06
7,13.153533,True,,3184.9375,29.02476978302002,14,8,18,21,1.2939160982835118,64,1,0.004468471056190121,5.286607059318092e-08
8,13.781654,True,,3194.9375,54.036340951919556,16,8,17,28,1.75035174069793,128,3,0.009722732332484834,6.618232352523946e-07
9,13.583499,True,,5562.9375,41.03053402900696,8,8,22,21,1.8166139333256321,64,3,0.0032140338430325954,1.8875667576596175e-06
10,10.470089,True,,2274.6875,25.02456545829773,12,4,16,26,1.3565629728242738,16,1,0.000712845564516313,2.0592209437053344e-08
11,11.223512,True,,3926.6875,47.53278112411499,15,8,19,32,1.2997008866843294,32,2,0.0008760617519402819,7.376813560305e-06
12,10.26792,True,,2364.6875,25.543232679367065,8,4,19,27,1.9787738480800217,16,3,0.0017582654403191082,3.324855262147705e-07
13,9.039394,True,,2572.6875,29.52453374862671,11,4,19,26,1.4181769618520594,32,2,0.0011419874543102146,5.228555105721535e-07
14,13.904945,True,,2202.6875,28.025280475616455,12,2,18,26,1.9936018790571504,64,2,0.004843351125895544,1.6140064116893487e-05
15,12.465968,True,,2640.6875,39.52920937538147,17,4,17,26,1.6072154687364562,64,1,0.00012067226124106452,2.510642800982818e-06
16,13.039291,True,,3188.6875,49.536248445510864,18,4,19,28,1.9578022161861042,64,2,0.022850212004256784,7.950220035470385e-08
17,13.824496,True,,3702.6875,38.02890920639038,12,4,21,24,1.5413530721262938,64,3,0.00043538910092339193,1.788329606971472e-05
18,13.556797,True,,2213.6875,18.023770570755005,9,4,15,14,1.3234818320165067,64,2,0.002647226767149294,2.3810945057435105e-06
19,13.148031,True,,2085.6875,19.52038812637329,14,2,15,31,1.9580039280143784,128,1,0.005320726248708596,2.8492836526442312e-08
20,10.601692,True,,2227.6875,20.0216805934906,11,4,15,19,1.845197824467475,32,2,0.002778838874647651,5.196669917304775e-05
21,7.976358,True,,2281.6875,35.527405738830566,17,2,17,20,1.830042012164808,16,3,0.003255341183013369,1.5312791257194464e-07
22,13.097061,True,,2979.6875,31.029105186462402,10,2,22,6,1.9372516951426881,128,2,0.009643960460486696,1.2117807160142576e-08
23,13.99692,True,,2173.6875,24.522836446762085,11,2,18,28,1.4248887985897127,16,3,0.005098402303914726,5.789269946636155e-07
24,13.256367,True,,3737.6875,52.53329253196716,14,8,19,28,1.4914883732687134,128,2,0.013745756591234677,2.5693808187477452e-08
25,13.555394,True,,2083.6875,15.521416187286377,10,2,15,13,1.726357535333392,32,1,0.007027206720462278,2.6678536802577318e-08
26,10.812382,True,,4837.6875,41.03203225135803,10,8,21,22,1.7007795475549456,16,2,0.00041097174465309466,1.4203344196387759e-05
27,-50.0,False,OOM,1265.6875,1.5137643814086914,13,8,22,19,1.8109761457420084,16,1,0.00015224476888183412,3.9620712868646715e-06
28,12.881061,True,,2523.6875,27.525986671447754,10,4,19,22,1.5401982671059091,16,3,0.0290855935794872,9.509775130073602e-08
29,14.158139,True,,3009.6875,53.04351043701172,16,8,16,31,1.742508125754885,128,2,0.002564610491586984,4.63838118860467e-05
